RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BBKN;;BBIKS-1-BHSH;BBIKS-1-BHSH
YBBIK;BBKN-BAKO;;
B 501;BBKN-BHSH;;
B 500;BBKN-BHSH;;
B 503;BBKN-BHSH;;
B 502;BBKN-BHSH;;
BHSH;BBKN-BAKO;;
B 513;BHSH-BAKO;;
B 510;BHSH-BAKO;;
B 517;BHSH-BAKO;;
B 516;BHSH-BAKO;;
BAKO;BBKN-BAKW;;
YBBAK;BAKO-BAKW;;
BAKW;BAKO-BSFL;;
BQAK;BAKW-BSFL;;
BFL;BAKW-BSFL;;
BSFL;BAKW-1-BSFW;;
BSFW;BSFL-BHOW;;
BABO;BSFW-BHOW;;
BHOW;BSFW-1-BHDO;;
BHDO;BHOW-1-BHDW;;
BHDW;BHDO-1-BSWL;;
BSWL;BHDW-BFAH;;
B9305;BSWL-BFAH;;
B9306;BSWL-BFAH;;
BFAH;BSWL-2-BHSL;;
BHSL;BFAH-BAWF;;
BAWF;BHSL-BPOT;;
BPOT;;BAWF-11/7-BSAT;BAWF-11/7-BSAT
