RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LHAT;LH-LHAD;;
L9315;LHAT-LHAD;;
L9316;LHAT-LHAD;;
LHAD;LH-1-LMG;;
LSP;LHAD-2-LMG;;
LMG;LHAD-2-LMGG;;
LMG G;LMG(6810)-11-LGC;;
LLWN;LMG-LGC;;
LLWS;LMG-LGC;;
L 245;LMG-LGC;;
L 244;LMG-LGC;;
LGC;LH-406-UW;;
LA706;LGC-UW;;
LB805;LGC-UW;;
LA806;LGC-UW;;
LB905;LGC-UW;;
LB906;LGC-UW;;
LB915;LGC-UW;;
UW;LGC-501-UNM;;
U5011;UW-UNM;;
U5012;UW-UNM;;
U5015;UW-UNM;;
U5017;UW-UNM;;
ULL;UW-UNM;;
U5018;UW-UNM;;
U5016;UW-UNM;;
U5219;UW-UNM;;
U5222;UW-UNM;;
U5223;UW-UNM;;
U5226;UW-UNM;;
UNM;UW-521-USK;;
USPF;UNM-UGH;;
UKO;UNM-5402-USK;;
USK;UNM-UGH;;
UGHO;UNM-UGH;;
UQGH;UNM-UGH;;
UGH;UNM-2-UWM;;
UBS;UGH-UWM;;
U7050;UGH-UWM;;
U7049;UGH-UWM;;
UNTA;UGH-UWM;;
U7053;UGH-UWM;;
U7054;UGH-UWM;;
UAP;UGH-701-UWM;;
U7061;UGH-UWM;;
U7062;UGH-UWM;;
UOM;UGH-UWM;;
U7066;UGH-UWM;;
U7065;UGH-UWM;;
UWM F;UGH-2-UWM;;
UWM;UGH-2/2-UE;;
U121V;UWM-UE;;
U112V;UWM-UE;;
U131V;UWM-UE;;
U232V;UWM-UE;;
U122V;UWM-UE;;
U221V;UWM-UE;;
UHP;UWM-UE;;
U132V;UWM-UE;;
U141V;UWM-UE;;
UVI;UWM-1-UE;;
U161V;UWM-UEG;;
U152V;UWM-UEG;;
UEG L;UVI-209-UE;;
UEG E;UEGL(209)-209-UE(229);;
UE;UEGL(309)-9-UEBI(6340);;
U2411;UE-UEBI;;
U2412;UE-UEBI;;
U2421;UE-UEBI;;
U2432;UE-UEBI;;
UEBI;UE(6340)-721-UND(6340);;
U2501;UEBI(6340)-UND;;
U2512;UEBI(6340)-UND;;
U2511;UEBI(6340)-UND;;
U2522;UEBI(6340)-UND;;
U2532;UEBI(6340)-UND;;
U2531;UEBI(6340)-UND;;
U2542;UEBI(6340)-UND;;
UND;UEBI(6340)-771-UWA;;
UWA;UND-5011-USB;;
U 691;UWA-USB;;
U 596;UWA-USB;;
USB;UWA-6011-UGO;;
U 193;USB-UGO;;
U 192;USB-UGO;;
U 195;USB- UGO;;
U 197;USB-UGO;;
U 194;USB-UGO;;
UGO K;UND-1-UGO;;
UGO;UND-101-UEI;;
U 293;UGO-UFT;;
U 292;UGO-UFT;;
U 295;UGO-UFT;;
U 294;UGO-UFT;;
U 891;UGO-UFT;;
U 892;UGO-UFT;;
U 893;UGO-UFT;;
U 894;UGO-UFT;;
UFT;UGO-801-UEI;;
U 991;UFT-UMS;;
U 898;UFT-UMS;;
UME;UFT-UMS;;
UMS;UFT-9012-UWU;;
USAE;UMS-UWU;;
U 591;UMS-UWU;;
U 994;UMS-UWU;;
U 593;UMS-UWU;;
USU;UMS-UWU;;
U 592;UMS-UWU;;
UWU;UMS-5012-UEI;;
U596B;UWU-UEI;;
UEI G;UGO-301/361-UEI;;
UEI;UGO-401-UGT;;
UEIW;UEI-UEIS;;
U 693;UEI-UEIS;;
U 692;UEI-UEIS;;
UEIP;UEI-UEIS;;
UEIS;UEI-601-UWAR;;
U 793;UEIS-UWAR;;
U 792;UEIS-UWAR;;
UHL;UEIS-UWAR;;
UWAR;UEIS-701-UGT;;
UQWA;UWAR-UGT;;
U 796;UWAR-UGT;;
UHER;UWAR-UGT;;
U 797;UWAR-UGT;;
U 747;UWAR-UGT;;
U 798;UWAR-UGT;;
U 748;UWAR-UGT;;
U 841;UWAR-UGT;;
U 890;UWAR-UGT;;
U891B;UWAR-UGT;;
U 842;UWAR-UGT;;
U893B;UWAR-UGT;;
U 843;UWAR-UGT;;
U892B;UWAR-UGT;;
UQHE;UWAR-UGT;;
U 895;UWAR-UGT;;
U894B;UWAR-UGT;;
U 897;UWAR-UGT;;
U 896;UWAR-UGT;;
U 846;UWAR-UGT;;
UGT;UEI-801-FB;;
UQGT;UGT-FHNB;;
YLFGD;UGT-FHNB;;
F610B;UGT-FHNB;;
FOBS;UGT-FHNB;;
F611A;UGT-FHNB;;
F612A;UGT-FHNB;;
FBOS;UGT-FHNB;;
F613A;UGT-FHNB;;
FHNB;UGT-631-FFDF;;
F615B;FHNB-FFDF;;
F614A;FHNB-FFDF;;
F617B;FHNB-FFDF;;
F616B;FHNB-FFDF;;
FRON;FHNB-FFDF;;
FFDF;FHNB-FB;;
