RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMB M;;FMB_O-81-FMB W;FMB_O-81-FMB W
FMB W;FMB_O-076-FMB_P-3525-2;;
FMB P;FMB_W-071/076-FKOS-3525;;
F720A;FMB-FKOS;;
F719A;FMB-FKOS;;
F718A;FMB-FKOS;;
FKOO;FMB-FKOS;;
FKOS;FMB-FMK;;
F171B;FKOS-FMK;;
FA175;FKOS-FMK;;
F172B;FKOS-FMK;;
FMK;FKOS-1-FWO_B;;
F179A;FMK-FWO_B;;
FA176;FMK-FWO_B;;
F176B;FMK-FWO_B;;
F182A;FMK-FWO_B;;
FWO B;FMK-1-FWO_G;;
FWO G;FWO_B-536-408-FWB_A;;
FWB A;FWO_G-1-FWB;;
FWB;FWB_A-702-FWS;;
FWS;FWB-2-FELTO;;
FNWF;FWS-FELTO;;
FELTO;FWS-2-FELT;;
FELT;FELTO-2-FHAT;;
FERB;FELT-2-FHAT;;
F041B;FELT-FHAT;;
F042B;FELT-FHAT;;
FHAT;FELT-2-FOE;;
FOE;FHAT-2-FRDH;;
F043B;FOE-FGSM;;
FGSM;FOE-2-FRDH;;
F055C;FGSM-FRDH;;
F054B;FGSM-FRDH;;
FRDH;FOE-1-FAH;;
F103K;FRDH-FAH;;
F202G;FRDH-FAH;;
FAH;FRDH-1-FKAU;;
F206C;FAH-1-FKAU;;
F107C;FAH-1-FKAU;;
F208C;FAH-FKAU;;
F109C;FAH-FKAU;;
FLOU;FAH-1-FKAU;;
F114A;FAH-1-FKAU;;
F212A;FAH-1-FKAU;;
FLOR;FAH-1-FKAU;;
F101D;FAH-1-FKAU;;
F202A;FAH-1-FKAU;;
F103A;FAH-1-FKAU;;
FLON;FAH-2-FKAU;;
F204A;FLOR-FKAU;;
F105A;FLOR-FKAU;;
FQLO;FLOR-1-FKAU;;
FKAU;FLOR-1-FLY;;
F101A;FKAU-FLY;;
F202B;FKAU-FLY;;
FLY;FKAU-2-FKMP;;
F105B;FLY-FKMP;;
F206A;FLY-FKMP;;
F107A;FLY-FKMP;;
FSGH;FLY-2-FKMP;;
F208B;FLY-FKMP;;
F109A;FLY-FKMP;;
F111A;FLY-FKMP;;
F210A;FLY-FKMP;;
F101B;FLY-FKMP;;
F202C;FLY-FKMP;;
FKES;FLY-3-FKMP;;
F103B;FLY-FKMP;;
F204B;FLY-FKMP;;
F105C;FLY-FKMP;;
F206B;FLY-FKMP;;
FKMP;FLY-2-KOL_G;;
F109B;FKMP-KOL_G;;
F210B;FKMP-KOL_G;;
FFI;FKMP-1-KOL_G;;
K111A;FKMP-KOL_G;;
K212A;FKMP-KOL_G;;
KOSS;FKMP-2-KOL_G;;
K101A;FKMP-KOL_G;;
K202A;FKMP-KOL_G;;
K103A;FKMP-KOL_G;;
K204A;FKMP-KOL_G;;
KBRB;FKMP-1-KOL_G;;
K105A;FKMP-KOL_G;;
K206A;FKMP-KOL_G;;
KOL G;FKMP-1-KOL-D1;;
KOL;KOL_G-1-KNL;;
KNL;KOL-7-207-KNL_N-fDf;;
KNL N;KNL-207-KKOE;;
K044B;KNL_N-KKOE;;
YFFNL;KNL_N-KPFD;;
KPFD;KNL-KKOE;;
KKOE;KPFD-1-KBEN;;
K040A;KKOE-KVA;;
K039A;KKOE-KVA;;
KVA;KKOE-1-KBEN;;
KBEN;KVA-601-KENR;;
KENR;KBEN-501-KNE_G;;
K135C;KENR-KNE_G;;
K138A;KENR-KNE_G;;
K136D;KENR-KNE_G;;
KNE G;KENR-82-KNE;;
KNE;KNE_G-002F/H1-KLET;;
K434A;KNE-KLET;;
K433A;KNE-KLET;;
K432A;KNE-KLET;;
K431A;KNE-KLET;;
K430A;KNE-KLET;;
K429B;KNE-KLET;;
KLET;KNE-3-KRBR;;
K032F;KLET-KRBR;;
K031F;KLET-KRBR;;
K030G;KLET-KRBR;;
K029E;KLET-KRBR;;
K028F;KLET-KRBR;;
K027F;KLET-KRBR;;
K026E;KLET-KRBR;;
K025D;KLET-KRBR;;
KRBR;KLET-1-KHGB;;
KHGB;KRBR-2-KLI;;
K024D;KHGB-KLI;;
K023E;KHGB-KLI;;
K022F;KHGB-KLI;;
K021D;KHGB-KLI;;
K120A;KHGB-KLI;;
KLEU;KHGB-KLI;;
K119A;KHGB-KLI;;
K118C;KHGB-KLI;;
K117C;KHGB-KLI;;
KLI;KHGB-2-KUN;;
K020B;KLI-KUN;;
K019B;KLI-KUN;;
KERP;KLI-KUN;;
K018A;KLI-KUN;;
K017A;KLI-KUN;;
K016D;KLI-KUN;;
K015E;KLI-KUN;;
KUN;KLI-2-KHBD;;
K014A;KUN-KHBD;;
K013A;KUN-KHBD;;
YDFHU;KNE-KT;;
KQHB;YDFHU-KHBD;;
KHBD;KNE-1-KT;;
KRHD;KQHB-1-KT;;
KKOW;KHBD-2-KT;;
KND;KKOW-1-KT;;
KBO;KKWO-201-KT;;
K138B;KKOW-KT;;
K 139;KKOW-KT;;
KBB;KKOW-2-KT;;
K136B;KKOW-KT;;
K 137;KKOW-KT;;
K 135;KKOW-KT;;
K 134;KKOW-KT;;
K 133;KKOW-KT;;
KMD;KKOW-301-KT;;
KFWH;KKOW-42-KT;;
KT;KQHB-7-KPR;;
KT  V;KFWH-26-KPR;;
K8132;KT-KPR;;
K8131;KT-KPR;;
K0958;KT-KPR;;
K0963;KT-KPR;;
K0954;KT-KPR;;
K0959;KT-KPR;;
K0950;KT-KPR;;
K0955;KT-KPR;;
KPR;KT-5-KGS;;
KGS;KT-KG H;;
KG  H;KGS-304-KG C;;
KG  C;;KG H-304KG C;KG H-304KG C
