RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMB M;FMB_O-81-FMB W;;
FMB W;FMB_O-076-FMB_P-3525-2;;
FMB P;FMB_W-006-FMG-3520-2;;
FMG;FMB_P-1-FMS-D2;;
FQMS;FMG-2-FMS;;
FMS;FMG-402-FMZ-3520-AMT;;
FMZ;FMS-3-263-53-FMZ_A-6-3520/3510-AMT;;
FMZ A;FMZ-53-FMN-3521;;
F721A;FMZ_A-FKBW;;
FMN;FMZ_A-FKBW-3521;;
FKBW;FMZ_A-1-FKBWO;;
F753B;FKBW-FKBWO;;
FQKB;FKBW-1-FKBWO;;
FKBWO;FKBW-FKOS;;
F011C;FKBW-FKOS;;
F012C;FKBW-FKOS;;
F013B;FKBW-FKOS;;
F014B;FKBW-FKOS;;
FKOS;FKBWO-FHM;;
FHM;FKOS-2-FFH;;
F731A;FHM-FFH;;
FTM;FHM-731-FFH;;
F732A;FHM-FFH;;
FFH;FHM-1-FHAS;;
FED;FFH-1-FHAS;;
FHAS;FFH-503-FHOE;;
F167B;FHAS-FHOEA;;
FSIN;FHAS-FHOEA;;
F165B;FHAS-FHOEA;;
F166B;FHAS-FHOEA;;
FSINO;FHAS-FHOEA;;
FHOEA;FHAS-FHOE;;
FHOES;FHOEA-FFAW;;
FFAW;FHOES-187-FHOE;;
FHOE;FFAW-002-FGM;;
F090B;FHOE-FGM;;
F091B;FHOE-FGM;;
FFND;FHOE-FGM;;
F088B;FHOE-FGM;;
F089B;FHOE-FGM;;
FGM;FHOE-201-FFAU;;
FFAU;FGM-732-FFGA;;
FFGA;FFAU-FFW-3631/3900;;
FFW;FFGA-4-FFGI;;
FFW A;FFW-44-FFGI;;
FFGI;FFW-3-FFBS;;
FFES;FFGI-FFBS;;
F260A;FFGI-FFBS;;
F161A;FFGI-FFBS;;
FFBS;FFGI-3-FVL;;
FFBK;FFBS-FVL;;
F254A;FFBS-FVL;;
F155A;FFBS-FVL;;
F252B;FFBS-FVL;;
F153A;FFBS-FVL;;
FVLS;FFBS-1-FVL;;
FVL;FFBS-7-FGKA-Gz;;
F202D;FVL-FGKA;;
F203A;FVL-FGKA;;
FDW;FVL-FGKA;;
F102B;FVL-FGKA;;
F103D;FVL-FGKA;;
FGKA;FVL-1-FNRW;;
FOK;FGKA-FNRW;;
F046B;FGKA-FNRW;;
F045B;FGKS-FNRW;;
FNRW;FGKA-1-FFG;;
F038D;FNRW-FFG_G;;
F039D;FNRW-FFG_G;;
FBB;FNRW-FFG;;
FFG G;FNRW-204-FFG;;
FFG;FNRW-4-FBNA;;
F036F;FFG-FBNA;;
F037D;FFG-FBNA;;
F035E;FFG-FBNA;;
FBNA;FFG-2-FBZ;;
F034F;FBNA-FBZ;;
F032E;FBNA-FBZ;;
F033E;FBNA-FBZ;;
F031E;FBNA-FBZ;;
F030D;FBNA-FBZ;;
F028E;FBNA-FBZ;;
F026D;FBNA-FBZ;;
F029D;FBNA-FBZ;;
F027E;FBNA-FBZ;;
F025C;FBNA-FBZ;;
F024C;FBNA-FBZ;;
F023D;FBNA-FBZ;;
FOM;FBNA-FBZ;;
F022E;FBNA-FBZ;;
F021C;FBNA-FBZ;;
F020A;FBNA-FBZ;;
F019A;FBNA-FBZ;;
FBZ;FBNA-1-FLGS;;
F018C;FBZ-FLGS;;
F017C;FBZ-FLGS;;
F016C;FBZ-FLGS;;
F015D;FBZ-FLGS;;
F014D;FBZ-FLGS;;
F013D;FBZ-FLGS;;
F012D;FBZ-FLGS;;
FKGS;FBZ-2-FLGS;;
F011E;FBZ-FLGS;;
F010G;FBZ-FLGS;;
F009G;FBZ-FLGS;;
FLGS;FBZ-3-FGL;;
F007C;FLGS-FGL;;
F006D;FLGS-FGL;;
F005C;FLGS-FGL;;
FGL;FLGS-3-FGB;;
FGB;;FGL-201-FG;FGL-201-FG
